endpoint	operation_id	param_value_tested	http_status	n_results	result_shape	notes	url
/genes/variants	query.variantsFromGenes	biological_context=lymphoblastoid cell line	400			"{""message"":""At least one of these properties must be defined: gene_id, hgnc_id, gene_name, region, alias, method, files_fileset"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?biological_context=lymphoblastoid+cell+line&page=0
/genes/variants	query.variantsFromGenes	name='modulates expression of' or 'modulates splicing of'	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""received"":""'modulates expression of' or 'modulates splicing of'"",""code"":""invalid_enum_value"",""options"":[""expression modulated by"",""splicing modulated by""],""path"":[""name""],""message"":""Invalid enum value. Expected 'expression modulated by' | 'splicing modulated by', received ''modulates expression of' or 'modulates splicing of''""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genes/variants?name=%27modulates+expression+of%27+or+%27modulates+splicing+of%27&page=0
/genomic-elements	query.genomicElements	source=ENCODE_SCREEN	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""received"":""ENCODE_SCREEN"",""code"":""invalid_enum_value"",""options"":[""AFGR"",""ENCODE"",""FUNCODE"",""IGVF""],""path"":[""source""],""message"":""Invalid enum value. Expected 'AFGR' | 'ENCODE' | 'FUNCODE' | 'IGVF', received 'ENCODE_SCREEN'""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements?source=ENCODE_SCREEN&page=0
/genomic-elements/genes	query.genesFromGenomicElements	source_annotation=enhancer	400			"{""message"":""At least one of those properties must be defined: region, files_fileset, method."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/genes?source_annotation=enhancer&page=0
/genomic-elements/genes	query.genesFromGenomicElements	region_type=accessible dna elements;	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""received"":""accessible dna elements;"",""code"":""invalid_enum_value"",""options"":[""accessible dna elements"",""candidate cis regulatory element"",""tested elements""],""path"":[""region_type""],""message"":""Invalid enum value. Expected 'accessible dna elements' | 'candidate cis regulatory element' | 'tested elements', received 'accessible dna elements;'""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/genes?region_type=accessible+dna+elements%3B&page=0
/genomic-elements/genes	query.genesFromGenomicElements	biosample_term=EFO_0002067	400			"{""message"":""At least one of those properties must be defined: region, files_fileset, method."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/genes?biosample_term=EFO_0002067&page=0
/genomic-elements/genes	query.genesFromGenomicElements	biological_context=placenta from ENCDO091OEF	400			"{""message"":""At least one of those properties must be defined: region, files_fileset, method."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/genes?biological_context=placenta+from+ENCDO091OEF&page=0
/genomic-elements/genes	query.genesFromGenomicElements	source=ENCODE	400			"{""message"":""At least one of those properties must be defined: region, files_fileset, method."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/genes?source=ENCODE&page=0
/genomic-elements/genes	query.genesFromGenomicElements	verbose=true	400			"{""message"":""At least one of those properties must be defined: region, files_fileset, method."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/genes?verbose=true&page=0
/genomic-elements/variants	query.variantsFromGenomicElements	region_type=accessible dna elements	400			"{""message"":""At least one of these properties must be defined: region, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/variants?region_type=accessible+dna+elements&page=0
/genomic-elements/variants	query.variantsFromGenomicElements	biosample_term=EFO_0002067	400			"{""message"":""At least one of these properties must be defined: region, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/variants?biosample_term=EFO_0002067&page=0
/genomic-elements/variants	query.variantsFromGenomicElements	biological_context=K562	400			"{""message"":""At least one of these properties must be defined: region, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/genomic-elements/variants?biological_context=K562&page=0
/go-terms/gene-products	query.annotationsFromGoTerms	name=has component	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""code"":""invalid_type"",""expected"":""string"",""received"":""undefined"",""path"":[""go_term_id""],""message"":""Required""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/go-terms/gene-products?name=has+component&page=0
/pathways/genes	query.genesFromPathways	verbose=true	400			"{""message"":""At least one pathway property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/pathways/genes?verbose=true&page=0
/pathways/pathways	query.pathwaysFromPathways	verbose=true	400			"{""message"":""At least one pathway property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/pathways/pathways?verbose=true&page=0
/phenotypes/variants	query.variantsFromPhenotypes	verbose=true	400			"{""message"":""At least one phenotype property, or method, or files_filesets must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/phenotypes/variants?verbose=true&page=0
/phenotypes/variants	query.variantsFromPhenotypes	log10pvalue=gte:5	400			"{""message"":""At least one phenotype property, or method, or files_filesets must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/phenotypes/variants?log10pvalue=gte%3A5&page=0
/phenotypes/variants	query.variantsFromPhenotypes	class=observed data	400			"{""message"":""At least one phenotype property, or method, or files_filesets must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/phenotypes/variants?class=observed+data&page=0
/phenotypes/variants	query.variantsFromPhenotypes	source=IGVF	400			"{""message"":""At least one phenotype property, or method, or files_filesets must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/phenotypes/variants?source=IGVF&page=0
/phenotypes/variants	query.variantsFromPhenotypes	label=protein variant effect	400			"{""message"":""At least one phenotype property, or method, or files_filesets must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/phenotypes/variants?label=protein+variant+effect&page=0
/proteins/variants	query.variantsFromProteins	verbose=true	400			"{""message"":""At least one protein property or method or files_fileset must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/proteins/variants?verbose=true&page=0
/proteins/variants	query.variantsFromProteins	label=pQTL	400			"{""message"":""At least one protein property or method or files_fileset must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/proteins/variants?label=pQTL&page=0
/proteins/variants	query.variantsFromProteins	source=IGVF	400			"{""message"":""At least one protein property or method or files_fileset must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/proteins/variants?source=IGVF&page=0
/proteins/variants	query.variantsFromProteins	name='modulates binding of' or 'associated with levels of'	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""received"":""'modulates binding of' or 'associated with levels of'"",""code"":""invalid_enum_value"",""options"":[""binding modulated by"",""level associated with""],""path"":[""name""],""message"":""Invalid enum value. Expected 'binding modulated by' | 'level associated with', received ''modulates binding of' or 'associated with levels of''""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/proteins/variants?name=%27modulates+binding+of%27+or+%27associated+with+levels+of%27&page=0
/transcripts/genes	query.genesFromTranscripts	verbose=true	400			"{""message"":""At least one query parameter must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/transcripts/genes?verbose=true&page=0
/transcripts/genes	query.genesFromTranscripts	organism=Homo sapiens	400			"{""message"":""At least one query parameter must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/transcripts/genes?organism=Homo+sapiens&page=0
/transcripts/proteins	query.proteinsFromTranscripts	verbose=true	400			"{""message"":""At least one transcript parameter must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/transcripts/proteins?verbose=true&page=0
/transcripts/proteins	query.proteinsFromTranscripts	organism=Homo sapiens	400			"{""message"":""At least one transcript parameter must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/transcripts/proteins?organism=Homo+sapiens&page=0
/variants/biosamples	query.biosamplesFromVariants	organism=Homo sapiens	400			"{""message"":""At least one variant property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/biosamples?organism=Homo+sapiens&page=0
/variants/biosamples	query.biosamplesFromVariants	element_id=candidate_cis_regulatory_element_chr5_1778763_1779094_GRCh38_ENCFF420VPZ	400			"{""message"":""At least one variant property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/biosamples?element_id=candidate_cis_regulatory_element_chr5_1778763_1779094_GRCh38_ENCFF420VPZ&page=0
/variants/biosamples	query.biosamplesFromVariants	significant=true	400			"{""message"":""At least one variant property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/biosamples?significant=true&page=0
/variants/diseases	query.diseaseFromVariants	assertion=Pathogenic	400			"{""message"":""At least one node property for variant / disease must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/diseases?assertion=Pathogenic&page=0
/variants/diseases	query.diseaseFromVariants	pmid=2574002	400			"{""message"":""At least one node property for variant / disease must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/diseases?pmid=2574002&page=0
/variants/drugs	query.drugsFromVariants	verbose=true	400			"{""message"":""At least one node property for variant / drug must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/drugs?verbose=true&page=0
/variants/drugs	query.drugsFromVariants	pmid=20824505	400			"{""message"":""At least one node property for variant / drug must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/drugs?pmid=20824505&page=0
/variants/drugs	query.drugsFromVariants	phenotype_categories=Toxicity	400			"{""message"":""At least one node property for variant / drug must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/drugs?phenotype_categories=Toxicity&page=0
/variants/freq	query.variantByFrequencySource	region=chr3:186741137-186742238	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""expected"":""'bravo_af' | 'gnomad_af_total' | 'gnomad_af_afr' | 'gnomad_af_afr_female' | 'gnomad_af_afr_male' | 'gnomad_af_ami' | 'gnomad_af_ami_female' | 'gnomad_af_ami_male' | 'gnomad_af_amr' | 'gnomad_af_amr_female' | 'gnomad_af_amr_male' | 'gnomad_af_asj' | 'gnomad_af_asj_female' | 'gnomad_af_asj_male' | 'gnomad_af_eas' | 'gnomad_af_eas_female' | 'gnomad_af_eas_male' | 'gnomad_af_female' | 'gnomad_af_fin' | 'gnomad_af_fin_female' | 'gnomad_af_fin_male' | 'gnomad_af_male' | 'gnomad_af_nfe' | 'gnomad_af_nfe_female' | 'gnomad_af_nfe_male' | 'gnomad_af_oth' | 'gnomad_af_oth_female' | 'gnomad_af_oth_male' | 'gnomad_af_sas' | 'gnomad_af_sas_male' | 'gnomad_af_sas_female' | 'gnomad_af_raw'"",""received"":""undefined"",""code"":""invalid_type"",""path"":[""source""],""message"":""Required""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/freq?region=chr3%3A186741137-186742238&page=0
/variants/freq	query.variantByFrequencySource	GENCODE_category=coding	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""expected"":""'bravo_af' | 'gnomad_af_total' | 'gnomad_af_afr' | 'gnomad_af_afr_female' | 'gnomad_af_afr_male' | 'gnomad_af_ami' | 'gnomad_af_ami_female' | 'gnomad_af_ami_male' | 'gnomad_af_amr' | 'gnomad_af_amr_female' | 'gnomad_af_amr_male' | 'gnomad_af_asj' | 'gnomad_af_asj_female' | 'gnomad_af_asj_male' | 'gnomad_af_eas' | 'gnomad_af_eas_female' | 'gnomad_af_eas_male' | 'gnomad_af_female' | 'gnomad_af_fin' | 'gnomad_af_fin_female' | 'gnomad_af_fin_male' | 'gnomad_af_male' | 'gnomad_af_nfe' | 'gnomad_af_nfe_female' | 'gnomad_af_nfe_male' | 'gnomad_af_oth' | 'gnomad_af_oth_female' | 'gnomad_af_oth_male' | 'gnomad_af_sas' | 'gnomad_af_sas_male' | 'gnomad_af_sas_female' | 'gnomad_af_raw'"",""received"":""undefined"",""code"":""invalid_type"",""path"":[""source""],""message"":""Required""}]}"	https://catalog-api-dserv-1227-swagger.demo.igvf.org/api/variants/freq?GENCODE_category=coding&page=0
